player,team,game_date,passing_yards,rushing_yards,receiving_yards
Jalen Hurts,Unknown,2025-02-09,221.0,72.0,0
Patrick Mahomes,Unknown,2025-02-09,257.0,25.0,0
Jalen Hurts,Unknown,2025-01-26,246.0,16.0,0
Josh Allen,Unknown,2025-01-26,237.0,39.0,0
Patrick Mahomes,Unknown,2025-01-26,245.0,43.0,0
Lamar Jackson,Unknown,2025-01-19,254.0,39.0,0
Jalen Hurts,Unknown,2025-01-19,128.0,70.0,0
Josh Allen,Unknown,2025-01-19,127.0,20.0,0
Jared Goff,Unknown,2025-01-18,313.0,7.0,0
Patrick Mahomes,Unknown,2025-01-18,177.0,14.0,0
C.J. Stroud,Unknown,2025-01-18,245.0,42.0,0
Jalen Hurts,Unknown,2025-01-12,131.0,36.0,0
Josh Allen,Unknown,2025-01-12,272.0,46.0,0
C.J. Stroud,Unknown,2025-01-11,282.0,42.0,0
Justin Herbert,Unknown,2025-01-11,242.0,0.0,0
Lamar Jackson,Unknown,2025-01-11,175.0,81.0,0
Patrick Mahomes,Unknown,2025-01-05,0.0,0.0,0
Jalen Hurts,Unknown,2025-01-05,0.0,0.0,0
Tua Tagovailoa,Unknown,2025-01-05,0.0,0.0,0
Josh Allen,Unknown,2025-01-05,0.0,0.0,0
C.J. Stroud,Unknown,2025-01-05,50.0,0.0,0
Dak Prescott,Unknown,2025-01-05,0.0,0.0,0
Justin Herbert,Unknown,2025-01-05,346.0,42.0,0
Brock Purdy,Unknown,2025-01-05,0.0,0.0,0
Kirk Cousins,Unknown,2025-01-05,0.0,0.0,0
Jared Goff,Unknown,2025-01-05,231.0,0.0,0
Lamar Jackson,Unknown,2025-01-04,217.0,63.0,0
Jared Goff,Unknown,2024-12-30,303.0,-3.0,0
Brock Purdy,Unknown,2024-12-30,377.0,12.0,0
Tua Tagovailoa,Unknown,2024-12-29,0.0,0.0,0
Josh Allen,Unknown,2024-12-29,182.0,17.0,0
Dak Prescott,Unknown,2024-12-29,0.0,0.0,0
Kirk Cousins,Unknown,2024-12-29,0.0,0.0,0
Jalen Hurts,Unknown,2024-12-29,0.0,0.0,0
Justin Herbert,Unknown,2024-12-28,281.0,12.0,0
C.J. Stroud,Unknown,2024-12-25,185.0,7.0,0
Patrick Mahomes,Unknown,2024-12-25,320.0,12.0,0
Lamar Jackson,Unknown,2024-12-25,168.0,87.0,0
Jalen Hurts,Unknown,2024-12-22,11.0,41.0,0
Kirk Cousins,Unknown,2024-12-22,0.0,0.0,0
Josh Allen,Unknown,2024-12-22,154.0,30.0,0
Tua Tagovailoa,Unknown,2024-12-22,215.0,-1.0,0
Dak Prescott,Unknown,2024-12-22,0.0,0.0,0
Jared Goff,Unknown,2024-12-22,336.0,-1.0,0
Brock Purdy,Unknown,2024-12-22,313.0,26.0,0
C.J. Stroud,Unknown,2024-12-21,244.0,23.0,0
Lamar Jackson,Unknown,2024-12-21,207.0,22.0,0
Patrick Mahomes,Unknown,2024-12-21,260.0,33.0,0
Justin Herbert,Unknown,2024-12-19,284.0,28.0,0
Kirk Cousins,Unknown,2024-12-16,112.0,0.0,0
C.J. Stroud,Unknown,2024-12-15,131.0,4.0,0
Jalen Hurts,Unknown,2024-12-15,290.0,45.0,0
Jared Goff,Unknown,2024-12-15,494.0,13.0,0
Tua Tagovailoa,Unknown,2024-12-15,196.0,0.0,0
Lamar Jackson,Unknown,2024-12-15,290.0,65.0,0
Dak Prescott,Unknown,2024-12-15,0.0,0.0,0
Patrick Mahomes,Unknown,2024-12-15,159.0,14.0,0
Josh Allen,Unknown,2024-12-15,362.0,68.0,0
Justin Herbert,Unknown,2024-12-15,195.0,0.0,0
Brock Purdy,Unknown,2024-12-12,142.0,3.0,0
Dak Prescott,Unknown,2024-12-09,0.0,0.0,0
Jalen Hurts,Unknown,2024-12-08,108.0,59.0,0
